event_id,iris_ground_truth
53094281-60e9-48eb-8922-a2afd00a1ed3,virginica
85cbdeee-ade8-4f3d-9f6b-8d012d373bb8,versicolor
e81b0176-f613-4222-8a31-09d20657eb1c,setosa
6cbb14ab-9226-4111-aa7f-8521ea2ba13b,virginica
d5d3f840-7003-457a-ab5d-36cfef7c3e5d,setosa
7ef8fee1-b2c1-410c-ac82-ae51f53fdaea,setosa
134fb71c-a31d-4fb7-a2c6-bc0b694de7c1,virginica
5e833de7-aa7a-420d-8edc-55b66b65e14f,virginica
f5cacc2a-38bd-48cb-8072-05d11320bd80,setosa
ca888a90-8a06-4642-92a2-cec0f72ece2b,setosa
554d32aa-814e-4961-94d0-097666e2c118,virginica
98c19bdf-12ab-4daf-85c7-f83a6056a101,setosa
fe73efd8-942b-4208-a829-2aab51dcd7f9,setosa
a69bfda8-93b7-4e8a-92b8-f8ea2654f3be,virginica
1b224127-c9c1-4b3d-98e4-43427e1b6927,setosa
26a4904b-1561-4f9e-b97e-3326ca6ba770,setosa
63c071a6-013c-483b-b1d6-465d6d7c99df,versicolor
91274657-b636-41ef-97e6-c7400f831b6c,virginica
7d7db4ea-08a5-4991-8e7f-077644c9ac0e,setosa
22dcaa06-ef3b-4180-badb-d6128b502d11,setosa
98b8061c-6d7c-41c7-bd0e-a72d77801876,virginica
d4d05ed5-0a52-4a41-8286-f7c14eaca231,setosa
5718c4c7-85cc-4fa1-94e8-48e057056e1a,setosa
a4a3799c-369f-458c-bc9b-03cc9c11e19f,virginica
97948484-e41c-4867-9bc4-2234373d3e94,virginica
b6e3db2f-648e-4019-b14c-f1630b4341af,setosa
93f67c06-769a-4358-a72b-25ea594df383,setosa
adeaaffe-c919-4655-9090-1186a94216db,virginica
e6c29549-7b51-44ce-aacb-3a3408c8a15f,setosa
53388ba0-1881-40e7-ae8c-f7ada76fd70f,setosa
ee66f315-ae88-45cf-8a89-b7e1d07c9690,virginica
077a0b0c-2a77-4fa1-9bd6-d0ccae32b46f,setosa
8db1ac48-8157-4458-ba14-28d3e82589b4,setosa
e62301d0-8631-4b2e-a610-5c03f93112cb,setosa
